name,kingdom,phylum,class,order,family,genus,species,nutritional components
Polygonum multiflorum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum multiflorum,"Anthraquinones, stilbene glycosides, phospholipids, flavonoids, etc."
Lotus seed,Plantae,Angiosperms,Dicotyledons,Ranunculales,Nymphaeaceae,Nelumbo,Nelumbo nucifera,"Carbohydrates, proteins, fats, minerals, and vitamins, etc."
Alpinia oxyphylla,Plantae,Angiosperms,Monocotyledon,Zingiberales,Zingiberaceae,Alpinia,Alpinia oxyphylla,"Volatile oils, sesquiterpenes, diphenylheptanes, flavonoids, sterols, phenolic acids, fatty acids, phenols, sterols, B vitamins, vitamin C, and various minerals such as potassium, calcium, magnesium, phosphorus, etc."
Changbai Mountain Immortality Grass,Plantae,Angiosperms,Magnoliopsida,Orchidales,Orchidaceae,Cistanche,Changbai Mountain Immortality Grass,"Immortality grass aldehyde, immortality grass lactone, mannitol, and alkaloids, etc."
Vladimiria souliei,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Vladimiria,Vladimiria souliei,"Volatile oils, inulin, saussurine, flavonoids, alkaloids, saponins, etc."
Hawthorn,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Hawthorn,"Volatile components, amino acids, flavonoids, triterpenoid saponins, vitamin C, inorganic salts, red pigments, etc."
Ganoderma,Fungi,Basidiomycota,Basidiomycetes,Aphyllophorales,Ganodermataceae,Ganoderma,Ganoderma,"Polysaccharides, triterpenoids, nucleosides, sterols, alkaloids, proteins, amino acids, organic germanium, inorganic salts, etc."
Prunus japonica,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Prunus,Prunus japonica,"Flavonoids, fatty acids, amino acids, glycosides, and mineral elements, etc."
Papaya,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Carica,Papaya,"Carpaine, papain, chymopapain, vitamins B, C, E, sugars, proteins, fats, carotene, cryptoxanthin, violaxanthin, cryptoxanthin cyclic amine derivatives, etc."
Gastrodia elata,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Gastrodia,Gastrodia elata,"Phenolic compounds and their glycosides, organic acids and their esters, steroids and their glycosides, other compounds, etc."
Polygonatum odoratum,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum odoratum,"Steroidal saponins, homoisoflavonoids, volatile oils, polysaccharides, etc."
Adenophora stricta,Plantae,Angiosperms,Magnoliopsida,Asterales,Campanulaceae,Adenophora,Adenophora stricta,Adenophorin
Sichuan pepper,Plantae,Angiosperms,Dicotyledons,Sapindales,Rutaceae,Zanthoxylum,Sichuan pepper,"Bergapten, Zanthoxylene, Benzoic acid, etc."
Eupatorium,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Eupatorium,Eupatorium,"Volatile oils, flavonoids, triterpenoids, etc."
Ophiopogon,Plantae,Angiosperms,Monocotyledon,Asparagales,Liliaceae,Ophiopogon,Ophiopogon,"Steroidal saponins, polysaccharides, isoflavonoids, volatile oils, and various trace elements"
Centipede vine,Plantae,Angiosperms,Magnoliopsida,Alismatales,Araceae,Pothos,Centipede vine,"Calcium oxalate crystals, etc."
Dahongpao,Plantae,Angiosperms,Dicotyledons,Primulales,Myrsinaceae,Myrsine,Myrsine,"Volatile oils (such as limonene, cumene, geraniol, etc.), sterols, unsaturated organic acids, etc."
Lingxiangcao,Plantae,Angiosperms,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lingxiangcao,"Volatile oils, alkaloids, flavonoids, triterpenoids, etc."
Fenugreek,Plantae,Angiosperms,Dicotyledons,Rosales,Fabaceae,Trigonella,Fenugreek,"Various alkaloids, saponins, flavonoids, fatty acids, lipids, etc."
Huajuhong,Plantae,Angiosperms,Dicotyledons,Sapindales,Rutaceae,Citrus,Huajuhong,"Volatile oils, flavonoids, carbohydrates, carotene, vitamin B1, B2, C, niacin, calcium, phosphorus, etc."
Rehmannia,Plantae,Angiosperms,Dicotyledons,Lamiales,Scrophulariaceae,Rehmannia,Rehmannia,"Flavonoids, volatile oils, iridoids, triterpenoids, saponins, coumarins, etc."
Lithospermum,Plantae,Angiosperms,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum,"Shikonin, acetylshikonin, β-hydroxyisovalerylshikonin, β,β'-dimethylacrylshikonin, etc."
Chili Pepper,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Chili Pepper,"Capsaicin, capsaicinoids, vitamins, chili pigments, organic acids, proteins, sugars, minerals, and other functional components"
Schizonepeta,Plantae,Equisetophyta,Magnoliopsida,Lamiales,Lamiaceae,Schizonepeta,Schizonepeta,"Volatile oils, monoterpenes, flavonoids, etc."
Clausena excavata,Plantae,Angiosperms,Magnoliopsida,Sapindales,Rutaceae,Clausena,Clausena excavata,"Coumarins, terpenes, alkaloids, volatile oils, etc."
Acanthopanax gracilistylus,Plantae,Angiosperms,Dicotyledons,Apiales,Araliaceae,Lysionotus,Acanthopanax gracilistylus,"Syringin, eleutheroside B1, dextro-sesamin, 16α-hydroxy-(-)-kaur-19-oic acid, β-sitosterol, β-sitosterol glucoside, stearic acid, palmitic acid, linolenic acid, and vitamins A, B1, etc."
Saussurea costus,Plantae,Angiosperms,Magnoliopsida,Rutales,Asteraceae,Saussurea,Saussurea costus,"The chemical components of Saussurea costus mainly include volatile oils, costunolide, inulin, dehydrocostus lactone, α-costol, α-costic acid, saussurealactone, dehydrocostus lactone, isodehydrocostus lactone, isotadehydrocostus lactone, monoterpenes, α and β-costene, α and β-ionone, β-selinene, etc."
Moutan Cortex,Plantae,Angiosperms,Dicotyledons,Ranunculales,Ranunculaceae,Paeonia,Paeonia suffruticosa,"Paeonol, Paeoniflorin, Volatile oils, etc."
Chenpi,Plantae,Angiosperms,Dicotyledons,Sapindales,Rutaceae,Citrus,Citrus reticulata,"Volatile oils, Flavonoids, Alkaloids, Polysaccharides, Vitamins, and Minerals, etc."
Gansong,Plantae,Angiosperms,Magnoliopsida,Dipsacales,Caprifoliaceae,Nardostachys,Nardostachys jatamansi,"Volatile oils, Sesquiterpenes, Triterpenes, Iridoids, etc."
Xixin,Plantae,Angiosperms,Magnoliopsida,Piperales,Aristolochiaceae,Asarum,Asarum sieboldii,"Volatile oils, Various bioactive components, and Trace elements, etc."
Buguzhi,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Psoralea,Psoralea corylifolia,"Coumarins, Flavonoids, Monoterpenes, Volatile oils, Resins, and Stigmasterol, etc."
Sandalwood,Plantae,Angiosperms,Magnoliopsida,Santalales,Santalaceae,Santalum,Sandalwood,"Volatile oil, α and β-santalene, santalene, santalene ketone, α-santalene alcohol, santalol, santalic acid, santal oil acid, santal pigment, deoxysantal pigment, etc."
Anemarrhena,Plantae,Angiosperms,Magnoliopsida,Asparagales,Asparagaceae,Anemarrhena,Anemarrhena,"Mainly steroidal saponins and flavonoids, also containing phenylpropanoids, alkaloids, organic acids, etc."
Clematis,Plantae,Angiosperms,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,Clematis,"Protoanemonin, anemonin, sterols, sugars, saponins, flavonoids, lignans, phenols, alkaloids, etc."
Belamcanda,Plantae,Angiosperms,Magnoliopsida,Asparagales,Iridaceae,Belamcanda,Belamcanda,"Irisflorentin, iridin, iridin glycoside, belamcandin, pterocarpin, etc."
Sophora,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Sophora,Sophora,"Matrine and oxymatrine, etc."
Fritillaria,Plantae,,Magnoliopsida,Asparagales,Liliaceae,Fritillaria,Fritillaria cirrhosa,"Alkaloids, saponins and flavonoids, volatile oils, steroidal alkaloids, sterols, and various inorganic elements"
Huai Shan,Plantae,Angiosperms,Monocotyledon,Asparagales,Dioscoreaceae,Dioscorea,Dioscorea opposita,"Starch, protein, amino acids, vitamins, minerals, pectin, saponins, etc."
Panax notoginseng,Plantae,Angiosperms,Magnoliopsida,Apiales,Araliaceae,Panax,Panax notoginseng,"Saponins, volatile oils, amino acids, polysaccharides, inorganic elements, and other components"
Dendrobium,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium,"Polysaccharides, alkaloids, flavonoids, volatile oils, etc."
Inca Radish,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium meyenii,"Protein, vitamins, minerals, etc."
Raspberry,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Rubus,Raspberry,"organic acids, sugars, vitamins, minerals, amino acids, flavonoids, alkaloids, anthocyanins, etc."
Tougucao,Plantae,Angiosperms,Magnoliopsida,Lamiales,Tougucao family,Tougucao genus,North American Tougucao,"saponins, polysaccharides, alkaloids, flavonoids, vitamins, etc."
Xiangfuzi,Plantae,Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cyperus genus,Xiangfuzi,"volatile oils, cyperene, cyperol, isocyperol, 1,8-cineole, p-cymene, α- and β-cyperone, α- and β-cyperol, etc."
Perilla,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Perilla,Perilla,"volatile oils, fatty acids, flavonoids, phenolic acids, and other components, as well as inorganic elements and vitamins."
Dill,Plantae,Angiosperms,Magnoliopsida,Apiales,Apiaceae,Anethum,Dill,"volatile oils, flavonoids, coumarins, and glucosides, etc."
Hops,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus genus,Hops,"hop resins, hop oils, and polyphenols, etc."
Mustard,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Mustard green,"Glucosinolates, volatile components, etc."
Saffron,Plantae,Angiosperms,Magnoliopsida,Asparagales,Iridaceae,Crocus,Crocus sativus,"Crocin, crocetin, safranal, picrocrocin, carotenoids, tannic acid, flavonoids, vitamin B2, volatile oils, etc."
Rosemary,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Rosmarinus,Rosmarinus officinalis,"Luteolin, glucosides, diosmin, rosmarinic acid, labiatic acid, carnosic acid, rosmaricine, and volatile oils, etc."
Sage,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia officinalis,"Volatile oils, phenolic acids, and flavonoids, etc."
Tarragon,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia dracunculus,"Volatile oils, aldehydes, and small amounts of alkaloids, etc."
Basil,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Ocimum,Basil,"Polyphenols, phenols, flavonoids, and phenolic acids, etc."
Oregano,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Origanum,Origanum vulgare,"Carvacrol, Thymol, Cymene, Monoterpenes, Sesquiterpenes, etc."
Allspice,Plantae,Angiosperms,Magnoliopsida,Myrtales,Myrtaceae,Pimenta,Pimenta dioica,"Eugenol, Protein, Fat, Vitamins A, C, B1, B2, and various minerals, etc."
Tamarind,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Tamarindus,Tamarindus indica,"Sugars, Acetic acid, Tartaric acid, Formic acid, Citric acid, Vitamin C, Vitamin B1, and various amino acids, etc."
Lavender,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,Lavandula angustifolia,"Linalool, Linalyl acetate, 1,8-Cineole, B-Ocimene, Terpinen-4-ol, and Camphor, etc."
Parsley,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,Petroselinum crispum,"Apiol, Myristicin, Terpinene, etc."
Chives,Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium tuberosum,"Methyl allyl disulfide, L-tyrosine, carotenoids, β-carotene, ascorbic acid, allicin, alliin, alanine, glutamic acid, aspartic acid, and valine, etc."
Wasabi japonica,Plantae,Angiosperms,Magnoliopsida,Brassicales,Brassicaceae,Wasabia,Wasabia japonica,"Amino acids, trace elements, vitamin C, etc."
Dipsacus,Plantae,Angiosperms,Dicotyledons,Gentianales,Dipsacaceae,Dipsacus,Dipsacus asper,"Volatile oils, alkaloids, iridoids, triterpenoid saponins, etc."
Lily,Plantae,Angiosperms,Magnoliopsida,Asparagales,Liliaceae,Lilium,Lilium,"Alkaloids, polysaccharides, phospholipids, flavonoids, amino acids, proteins, starch, vitamins, trace elements, etc."
Asparagus cochinchinensis,Plantae,Angiosperms,Monocotyledon,Asparagales,Liliaceae,Asparagus,Asparagus cochinchinensis,"Steroidal saponins, oligosaccharides, amino acids, and polysaccharides, etc."
Saposhnikovia divaricata,Plantae,Angiosperms,Magnoliopsida,Apiales,Apiaceae,Pastinaca,Saposhnikovia divaricata,"Chromone components, coumarin components, volatile oils, polyacetylene components, acidic polysaccharides, β-sitosterol, etc."
Polygala,Plantae,Angiosperms,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala,"Saponins, xanthones, oligosaccharide esters, and alkaloids, etc."
Houttuynia cordata,Plantae,Angiosperms,Magnoliopsida,Piperales,Saururaceae,Houttuynia,Houttuynia cordata,"Volatile oils, houttuynin, methyl nonyl ketone, lauraldehyde, decanal, decanoic acid, potassium chloride, potassium sulfate, houttuynine, isoquercitrin, quercitrin, hyperin, rutin, etc."
Ligustrum,Plantae,Angiosperms,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Ligustrum,"Ligustroside, oleuropein, oleanolic acid, 4-hydroxy-β-phenylethyl-β-D-glucoside, betulin, etc."
Agastache,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Agastache,Agastache,"Volatile oils, flavonoids, terpenoids, etc."
Corydalis,Plantae,Angiosperms,Magnoliopsida,Ranunculales,Papaveraceae,Corydalis,Corydalis,"Alkaloids, a large amount of starch, and a small amount of mucilage"
Rose,Plantae,Angiosperms,Magnoliopsida,Rosales,Rosaceae,Rosa,Rose,"Volatile oils, flavonoids, organic acids, vitamins, etc."
Dalbergia odorifera,Plantae,Angiosperms,Magnoliopsida,Fabales,Fabaceae,Dalbergia,Dalbergia odorifera,"Volatile oils, sesquiterpenes, flavonoids, etc."
Albizia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia,"Flavonoids, volatile oils, polysaccharides, etc."
Isatis,Plantae,Angiosperms,Dicotyledons,Papaverales,Brassicaceae,Isatis,Isatis,"Salicylic acid derivatives, luteolin derivatives, vitamins, and various flavonoids, etc."
White Hyacinth Bean,Plantae,Angiosperms,Dicotyledons,Fabales,Fabaceae,Dolichos,White Hyacinth Bean,"Protein, fat, carbohydrates, vitamins, trace elements, etc."
Salvia Miltiorrhiza,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia Miltiorrhiza,"Tanshinone, salviol, salvinol, neotanshinone, salvinorin, water-soluble salvianolic acid, etc."
Ginseng Flower,Plantae,Angiosperms,Dicotyledons,Apiales,Araliaceae,Panax,Ginseng,"Ginsenosides, volatile oils, polysaccharides, and flavonoids, etc."
Storax,Plantae,Magnoliophyta,Magnoliopsida,Hamamelidales,Hamamelidaceae,Liquidambar,Storax,"Cinnamic acid, volatile oils, myrcene, ethylphenol, etc."
Wintersweet,Plantae,Angiosperms,Magnoliopsida,Laurales,Calycanthaceae,Chimonanthus,Chimonanthus praecox,"Volatile oils, borneol, eucalyptol, linalool, chimonanthine, isochimonanthine, chimonanthoside, a-carotene, linoleic acid, oleic acid, etc."
Sour jujube,Plantae,Angiosperms,Magnoliopsida,Rosales,Rhamnaceae,Ziziphus,Ziziphus jujuba var. spinosa,"Triterpenoid saponins, flavonoids, alkaloids, fatty oils, volatile oils, etc."
Cassia seed,Plantae,Angiosperms,Dicotyledons,Rosales,Fabaceae,Cassia,Cassia seed,"Anthraquinones, flavonoids, terpenoids, polysaccharides, proteins, amino acids, trace elements, etc."
Stemona,Plantae,Angiosperms,Magnoliopsida,Pandanales,Stemonaceae,Stemona,Stemona,"Various alkaloids, sugars, lipids, proteins, ash, acetic acid, formic acid, malic acid, succinic acid, oxalic acid, etc."
Codonopsis,Plantae,Angiosperms,Magnoliopsida,Asterales,Campanulaceae,Codonopsis,Codonopsis,"Codonopsides, atractylenolide III, codonopsoside IV, (6R,7R)-trans,trans-tetradeca-4,12-dien-8,10-diyn-1,6,7-triol, syringin, vanillic acid, etc."
Scrophularia,Plantae,Angiosperms,Dicotyledons,Asterales,Scrophulariaceae,Scrophularia,Scrophularia,"Terpenoids, Phenylpropanoids, Organic Acids, Volatile Oils, Steroids, Sugars, Flavonoids, Alkaloids, Phenols, etc."
Osmanthus Branch,Plantae,Angiosperms,Dicotyledons,Lamiales,Oleaceae,Osmanthus,Osmanthus,"Cinnamaldehyde, Benzyl Benzoate, Cinnamyl Acetate, β-Caryophyllene, Calamenene, Coumarin, etc."
Burdock,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Burdock,Burdock,"Volatile Oils, Flavonoids, Phenolic Acids, Sterols, Fatty Acids, etc."
Borneol Camphor,Plantae,Angiosperms,Dicotyledons,Parietales,Dipterocarpaceae,Dipterocarpus,Dipterocarpus,"Various Terpenoids, Triterpenoids, etc."
Alisma,Plantae,Angiosperms,Magnoliopsida,Alismatales,Alismataceae,Alisma,Alisma,"triterpenoids, sesquiterpenoids, phenylpropanoids, diterpenoids, sugars, and volatile oils, etc."
Xanthium,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Xanthium,Xanthium,"volatile oils, fatty acids, phenolic acids and their derivatives, lignans, sesquiterpene lactones, water-soluble glycosides, other components such as quercetin, rutin, astragalin, various amino acids, alkaloid compounds, etc."
White Peony,Plantae,Angiosperms,Dicotyledons,Lamiales,Apocynaceae,Cynanchum,Cynanchum otophyllum,"paeoniflorin, paeonol, benzoic acid, volatile oils, fatty oils, resins, tannins, sugars, starch, mucilage, proteins, β-sitosterol, and triterpenoids, etc."
Star Anise,Plantae,Angiosperms,Magnoliopsida,Austrobaileyales,Schisandraceae,Illicium,Illicium verum,"volatile oils, fatty oils, proteins, resins, etc."
Camphor Tree,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Cinnamomum camphora,"crude protein, crude fat, dietary fiber, sugars, carbohydrates, vitamins, minerals, and phytochemicals, etc."
Cinnamon,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Cinnamon,"Vitamin A, Vitamin C, Vitamin E, Riboflavin, Thiamine, and Carotene, among other nutrients. The peel contains volatile oils, mainly cinnamaldehyde, and small amounts of cinnamyl acetate, phenylpropyl acetate, etc."
Ginger,Plantae,Angiosperms,Magnoliopsida,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale,"Protein, polysaccharides, vitamins, and various trace elements, as well as physiological active substances such as gingerol and shogaol."
Calamus,Plantae,Angiosperms,Magnoliopsida,Acorales,Araceae,Acorus,Calamus,"α-, β-Asarone, cis-Hydroxyisoeugenol, Hydroxyeugenol, Acorone, Acorone, Acorone, Acorone, Acorone, Acorone, etc."
Bay Laurel,Plantae,Angiosperms,Magnoliopsida,Laurales,Lauraceae,Laurus,Bay Laurel,"Energy, protein, fat, carbohydrates (sugar), sodium, vitamins, dietary fiber, etc."
Magnolia,Plantae,Angiosperms,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia,"Volatile oils, flavonoids, polysaccharides, amino acids, etc."
Schisandra,Plantae,Angiosperms,Magnoliopsida,Austrobaileyales,Schisandraceae,Schisandra,,"Organic acids, vitamins, flavonoids, phytosterols, and lignans with strong restorative effects (such as schisandrin A, schisandrin B, or schisandrin C)."
Chrysanthemum,Plantae,Angiosperms,Magnoliopsida,Asterales,Asteraceae,Chrysanthemum,Chrysanthemum,"volatile oil, vitamins, trace elements, amino acids, choline, etc."
Osmanthus,Plantae,Angiosperms,Dicotyledons,Lamiales,Oleaceae,Osmanthus,Multiple,"22 amino acids and 15 vitamins including vitamin A, vitamin B, vitamin C, vitamin D, vitamin E, vitamin K, etc., as well as iron, anthocyanins, auxins, etc."
Honeysuckle,Plantae,Angiosperms,Dicotyledons,Dipsacales,Caprifoliaceae,Lonicera,,"Protein, fat, vitamins, minerals, and other nutrients, as well as 17 amino acids, including 8 essential amino acids for humans."
Sichuan Pepper,Plantae,Angiosperms,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,,"Organic acids, vitamin C, capsaicin, etc."
Lemon,Plantae,Angiosperms,Magnoliopsida,Sapindales,Rutaceae,Citrus,Lemon,"Vitamin C, sugars, calcium, phosphorus, iron, vitamin B1, vitamin B2, niacin, quinic acid, citric acid, malic acid, hesperidin, naringin, coumarin, high potassium content, and low sodium content, etc."
Orange,Plantae,Angiosperms,Magnoliopsida,Sapindales,Rutaceae,Citrus,Orange,"Vitamin C, organic acids, minerals, dietary fiber, etc."
Almond,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Plum,Almond,"Fat, carbohydrates, fiber, vitamin E, B vitamins, minerals, etc."
Pepper,Plantae,Angiosperms,Magnoliopsida,Piperales,Piperaceae,Piper,Pepper,"Piperine, aromatic oil, crude protein, crude fat, soluble nitrogen, starch, thiamine, copper, iron, zinc, ketones, alcohols, enzymes, etc."
Fennel,Plantae,Angiosperms,Magnoliopsida,Apiales,Apiaceae,Foeniculum,Fennel,"Anise oil, vitamin A, vitamin C, carotene, calcium, etc."
Rosin,Plantae,Gymnosperms,Pinopsida,Pinales,Pinaceae,Pinus,"Masson pine, Chinese pine, or other species of the same genus","Turpentine, rosin, abietic acid, and rosin acid, etc."
Cedar,Plantae,Gymnosperms,Pinopsida,Pinales,Pinaceae,Cedrus,,"15.5% bark extract, including 9.8% carbohydrates, 47.5% lignin, 2.2% tannins, 2.6% ash. Wax contains 61.9% acid, 25.4% wax, and unsaponifiable matter contains higher alcohols and beta-sitosterol."
Cypress,Plantae,Gymnosperms,Pinopsida,Cupressales,Cupressaceae,Cupressus,Cypress,"Volatile oils, flavonoids, terpenes, phenolic compounds, organic acids, polysaccharides, lignans, inorganic elements, etc."
Peppermint,Plantae,Angiosperms,Magnoliopsida,Lamiales,Lamiaceae,Mentha,Peppermint,
Ylang-Ylang,Plantae,Angiosperms,Magnoliopsida,Magnoliales,Annonaceae,Cananga,Cananga odorata,
Agarwood,Plantae,Angiosperms,Dicotyledons,Malvales,Thymelaeaceae,"Aquilaria, Gyrinops",30,
Vetiver,Plantae,Angiosperms,Magnoliopsida,Poales,Poaceae,Chrysopogon,Vetiveria zizanioides,
Spruce,Plantae,Gymnosperms,Pinopsida,Pinales,Pinaceae,Picea,Picea,
Natural Beeswax,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis,"Vitamin A, carotenoids, citric acid, dispersed fatty alcohols, triglycerides, and other nutrients"
Black Hornet Venom,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,Vespula,"Contains various enzymes and toxins, including phospholipase and hyaluronidase, which can cause severe inflammatory reactions and pain, commonly used in medical toxicology research."
Common Wasp Venom,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa,"Rich in toxins such as phospholipase, hyaluronidase, and polypeptides, commonly used in allergy research."
Red Fire Ant Venom,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis,"Contains various alkaloids, which can cause severe pain and inflammatory reactions, and is partially used in pain research."
Stingless Bee Royal Jelly,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Stingless Bee Genus,Apis,"Rich in unique fatty acids and phenolic compounds, enhances energy and mental clarity, commonly used in South America."
Mexican Bee Royal Jelly,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Stingless Bee Genus,Mexican Bee Species,"Rich in lipids, antioxidants, and trace elements, has immune-boosting and anti-aging effects."
Bumblebee Royal Jelly,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bumblebee Genus,Bumblebee Species,"Rich in carbohydrates and minerals, enhances energy and relieves stress."
Patagonian Stingless Bee Royal Jelly,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Stingless Bee Genus,Patagonian Stingless Bee Species,"Rich in vitamins, minerals, and antioxidants, helps with anti-aging and improves metabolism."
Small Stingless Bee Royal Jelly,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Small Stingless Bee Genus,Apis,"Contains antioxidant enzymes, has anti-aging effects."
Pine Pollen,Plantae,Gymnosperms,Pinopsida,Pinales,Pinaceae,Pinus,Pine Species,"Rich in amino acids, B vitamins, vitamin E, and trace elements, has immune-boosting and anti-aging effects."
Jujube Pollen,Plantae,Angiosperms,Dicotyledons,Rhamnales,Rhamnaceae,Ziziphus,Jujube,"Rich in protein, amino acids, and various vitamins, it has the effects of tonifying the middle and replenishing qi, and moistening the intestines to relieve constipation."
Corn Pollen,Plantae,Angiosperms,Monocotyledon,Poaceae,Poaceae,Zea,Corn,"Contains abundant protein, fatty acids, and vitamins, with antioxidant and lipid-lowering effects."
Rapeseed Pollen,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Rapeseed,"Rich in protein, fatty acids, vitamin E, and B vitamins, it has the effects of regulating immunity and combating fatigue."
Sophora Pollen,Plantae,Angiosperms,Dicotyledons,Fabales,Fabaceae,Sophora,Black Locust,"Rich in flavonoids, it has anti-inflammatory, antioxidant, and cardiovascular function-improving effects."
Goji Berry Pollen,Plantae,Angiosperms,Dicotyledons,Solanales,Solanaceae,Lycium,Goji Berry,"Contains abundant vitamin C and β-carotene, with the effects of nourishing the liver and improving eyesight, and nourishing yin and tonifying the kidneys."
Jasmine Pollen,Plantae,Angiosperms,Dicotyledons,Gentianales,Oleaceae,Jasmine,Jasmine species,"Rich in volatile oils, vitamin C, and various minerals, it has the effects of clearing heat, detoxifying, and soothing emotions."
Buckwheat pollen,Plantae,Angiosperms,Dicotyledons,Polygonales,Polygonaceae,Fagopyrum,Buckwheat species,"Contains flavonoids, dietary fiber, and vitamin E, with the effects of lowering blood sugar and blood lipids."
Citrus pollen,Plantae,Angiosperms,Dicotyledons,Sapindales,Rutaceae,Citrus,Citrus species,"Rich in vitamin C and citrus polyphenols, it has antioxidant and immune-boosting effects."
Clove pollen,Plantae,Angiosperms,Dicotyledons,Myrtales,Myrtaceae,Clove genus,Clove species,"Contains volatile oils and flavonoids, with antibacterial, anti-inflammatory, and stomach-warming effects."
Cedar pollen,Plantae,Gymnosperms,Pinopsida,Pinales,Pinaceae,Cedrus,Cedar species,"Rich in flavonoids, proteins, and amino acids, it has anti-aging and immune-boosting effects."
Cotton pollen,Plantae,Angiosperms,Dicotyledons,Malvales,Malvaceae,Cotton genus,Cotton species,"Rich in vitamin E and minerals, it has antioxidant and immune-regulating effects. 50"
Apple Pollen,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Malus,Apple,"Contains various vitamins and amino acids, with effects of moistening the lungs, relieving cough, and anti-aging."
Blueberry Pollen,Plantae,Angiosperms,Dicotyledons,Ericales,Ericaceae,Vaccinium,Blueberry,"Rich in anthocyanins and various vitamins, with antioxidant properties and benefits for vision protection."
Rose Pollen,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Rosa,Rose,"Rich in flavonoids and volatile oils, with effects of regulating menstruation, relieving pain, and improving skin condition."
Hazelnut Pollen,Plantae,Angiosperms,Dicotyledons,Fagales,Betulaceae,Corylus,Hazelnut,"Contains a large amount of protein, fatty acids, and vitamin E, with effects of maintaining cardiovascular health and enhancing memory."
Rhododendron Pollen,Plantae,Angiosperms,Dicotyledons,Ericales,Ericaceae,Rhododendron,Rhododendron,"Rich in flavonoids, with effects of regulating immune function and antioxidant properties."
