EntityA,EntityB,Relation
Chinese giant salamander,copper,contains
Chinese giant salamander,er also contains functional components such as active peptides,contains
Chinese giant salamander,er are rich in protein,contains
Chinese giant salamander,er contain various mineral elements,contains
Chinese giant salamander,er contains a large amount of collagen,contains
Chinese giant salamander,er has a high proportion of unsaturated fatty acids,contains
Chinese giant salamander,er's muscles is complete,contains
Chinese giant salamander,especially polyunsaturated fatty acids such as docosahexaenoic acid (DHA),contains
Chinese giant salamander,gelatin,contains
Chinese giant salamander,improving corneal endothelium,contains
Chinese giant salamander,iron,contains
Chinese giant salamander,lipids,contains
Chinese giant salamander,lowering blood pressure,contains
Chinese giant salamander,magnesium,contains
Chinese giant salamander,making it a high-quality protein source. The amino acid profile in the salam,contains
Chinese giant salamander,manganese,contains
Chinese giant salamander,phosphorus,contains
Chinese giant salamander,polysaccharide peptides,contains
Chinese giant salamander,potassium,contains
Chinese giant salamander,relieving fatigue.,contains
Chinese giant salamander,selenium,contains
Chinese giant salamander,skin of the Chinese giant salam,contains
Chinese giant salamander,skin of the salam,contains
Chinese giant salamander,sodium,contains
Chinese giant salamander,such as calcium,contains
Chinese giant salamander,which are beneficial for cardiovascular health. The muscles,contains
Chinese giant salamander,which have effects such as regulating immunity,contains
Chinese giant salamander,which have positive effects on skin health,contains
Chinese giant salamander,which positively enhances human immunity. The skin of the salam,contains
Chinese giant salamander,with 8 essential amino acids making up 44.40% of the total amino acids. The fat of the salam,contains
Chinese giant salamander,with selenium content meeting the st,contains
Chinese giant salamander,zinc,contains
Chinese herring,B2,contains
Chinese herring,Rich in protein,contains
Chinese herring,calcium,contains
Chinese herring,fat,contains
Chinese herring,helps lower cholesterol,contains
Chinese herring,iron. Rich in unsaturated fatty acids,contains
Chinese herring,niacin,contains
Chinese herring,phosphorus,contains
Chinese herring,vitamin B1,contains
Chinese kale juice,C,contains
Chinese kale juice,Chinese kale juice contains vitamin A,contains
Chinese kale juice,K,contains
Chinese kale juice,antioxidants.,contains
Chinese kale juice,dietary fiber,contains
Chinese kale juice,minerals,contains
Chinese mitten crab,B vitamins. Contains abundant calcium,contains
Chinese mitten crab,Rich in protein,contains
Chinese mitten crab,cholesterol,contains
Chinese mitten crab,dietary fiber,contains
Chinese mitten crab,magnesium,contains
Chinese mitten crab,phosphorus,contains
Chinese mitten crab,potassium,contains
Chinese mitten crab,selenium,contains
Chinese mitten crab,sodium,contains
Chinese mitten crab,various amino acids.,contains
Chinese mitten crab,vitamin A,contains
Chinese mitten crab,vitamin E,contains
Chinese mitten crab,with a particularly high selenium content of up to 56.7 micrograms per 100 grams. Also contains a certain amount of carbohydrates,contains
Chinese paddlefish,EPA (eicosapentaenoic acid),contains
Chinese paddlefish,Very rich in protein,contains
Chinese paddlefish,approximately 16.1% to 18.1%,contains
Chinese paddlefish,cerebrovascular health,contains
Chinese paddlefish,containing various essential amino acids for the human body,contains
Chinese paddlefish,helping to soften blood vessels,contains
Chinese paddlefish,improve memory.,contains
Chinese paddlefish,including DHA (docosahexaenoic acid),contains
Chinese paddlefish,including lysine,contains
Chinese paddlefish,isoleucine,contains
Chinese paddlefish,known as 'brain gold',contains
Chinese paddlefish,leucine,contains
Chinese paddlefish,methionine,contains
Chinese paddlefish,phenylalanine,contains
Chinese paddlefish,promote brain development,contains
Chinese paddlefish,threonine,contains
Chinese paddlefish,tryptophan,contains
Chinese paddlefish,valine. It is also rich in highly unsaturated fatty acids,contains
Chinese paddlefish,which are very beneficial for cardiovascular,contains
Chinese rice grasshopper,The nutritional components of the Chinese rice grasshopper include protein,contains
Chinese rice grasshopper,carbohydrates,contains
Chinese rice grasshopper,etc.,contains
Chinese rice grasshopper,fat,contains
Chinese rice grasshopper,making it a good food source.,contains
Chinese rice grasshopper,trace elements,contains
Chinese rice grasshopper,with a relatively high protein content,contains
Chinese sturgeon,EPA (eicosapentaenoic acid),contains
Chinese sturgeon,Very rich in protein,contains
Chinese sturgeon,approximately 16.1% to 18.1%,contains
Chinese sturgeon,cerebrovascular health,contains
Chinese sturgeon,containing various essential amino acids for the human body,contains
Chinese sturgeon,helping to soften blood vessels,contains
Chinese sturgeon,improve memory.,contains
Chinese sturgeon,including DHA (docosahexaenoic acid),contains
Chinese sturgeon,including lysine,contains
Chinese sturgeon,isoleucine,contains
Chinese sturgeon,known as 'brain gold',contains
Chinese sturgeon,leucine,contains
Chinese sturgeon,methionine,contains
Chinese sturgeon,phenylalanine,contains
Chinese sturgeon,promote brain development,contains
Chinese sturgeon,threonine,contains
Chinese sturgeon,tryptophan,contains
Chinese sturgeon,valine. It is also rich in highly unsaturated fatty acids,contains
Chinese sturgeon,which are very beneficial for cardiovascular,contains
Chinquapin,Similar to Japanese chestnut,contains
Chinquapin,minerals.,contains
Chinquapin,protein,contains
Chinquapin,rich in starch,contains
Chives,Fiber,contains
Chives,L-tyrosine,contains
Chives,Methyl allyl disulfide,contains
Chives,Potassium.,contains
Chives,Rich in Vitamin A,contains
Chives,Rich in vitamin C,contains
Chives,Vitamin C,contains
Chives,alanine,contains
Chives,allicin,contains
Chives,alliin,contains
Chives,ascorbic acid,contains
Chives,aspartic acid,contains
Chives,carotenoids,contains
Chives,etc.,contains
Chives,fatty acids,contains
Chives,fiber.,contains
Chives,glutamic acid,contains
Chives,niacin,contains
Chives,potassium,contains
Chives,valine,contains
Chives,vitamin A,contains
Chives,vitamin B group,contains
Chives,vitamin B1,contains
Chives,vitamin B2,contains
Chives,volatile oils,contains
Chives,β-carotene,contains
Chongqing Camellia,Rich in tea polyphenols,contains
Chongqing Camellia,amino acids,contains
Chongqing Camellia,anti-fatigue,contains
Chongqing Camellia,caffeine,contains
Chongqing Camellia,etc. Has effects such as antioxidant,contains
Chongqing Camellia,lowering cholesterol.,contains
Chongqing Camellia,promoting metabolism,contains
Chongqing Camellia,vitamin C,contains
Choy Sum,Rich in vitamin C,contains
Choy Sum,calcium.,contains
Choy Sum,fiber,contains
Choy Sum,vitamin A,contains
Chrysanthemum,amino acids,contains
Chrysanthemum,choline,contains
Chrysanthemum,etc.,contains
Chrysanthemum,trace elements,contains
Chrysanthemum,vitamins,contains
Chrysanthemum,volatile oil,contains
Chrysanthemum pollen,Rich in flavonoids,contains
Chrysanthemum pollen,anti-inflammatory.,contains
Chrysanthemum pollen,antibacterial,contains
Chrysanthemum pollen,detoxifying,contains
Chrysanthemum pollen,volatile oils,contains
Chrysanthemum pollen,with effects of clearing heat,contains
Chrysanthemum powder beverage,Contains various active ingredients,contains
Chrysanthemum powder beverage,amino acids,contains
Chrysanthemum powder beverage,detoxifying.,contains
Chrysanthemum powder beverage,such as chrysanthemum flavonoids,contains
Chrysanthemum powder beverage,trace elements,contains
Chrysanthemum powder beverage,volatile oils,contains
Chrysanthemum powder beverage,with the effect of clearing heat,contains
Cibotium,Volatile oils,contains
Cibotium,amino acids.,contains
Cibotium,aromatic compounds,contains
Cibotium,flavonoids,contains
Cibotium,glycosides,contains
Cibotium,phenolic acids,contains
Cibotium,pterosins,contains
Cibotium,saponins,contains
Cicada,4.3 times that of lean pork (16.7%).,contains
Cicada,9 mineral elements. Every 100 grams of nymphs contain 72 grams of protein,contains
Cicada,9.15% fat,contains
Cicada,Rich in protein,contains
Cicada,The nymphs of cicadas contain 68.83% protein,contains
Cicada,iron.,contains
Cicada,phosphorus,contains
Cicada,such as the B-complex vitamins. Also contains minerals like calcium,contains
Cicada,which is 6 times that of eggs (11.8%),contains
Cicada,which is one of its main nutritional components. Contains various vitamins,contains
Cicada,with unsaturated fatty acids accounting for 77.27% of the total fatty acids. They contain 17 amino acids,contains
Cimicifuga,Phenolic acids,contains
Cimicifuga,alkaloids,contains
Cimicifuga,amides,contains
Cimicifuga,chromones,contains
Cimicifuga,indolones,contains
Cimicifuga,lignans,contains
Cimicifuga,sterols,contains
Cimicifuga,sugars,contains
Cimicifuga,volatile oils,contains
Cinchona,Cinchona bark contains alkaloids such as quinine,contains
Cinchona,antipyretic effects.,contains
Cinchona,cinchonine,contains
Cinchona,which have antimalarial,contains
Cinnamomum cassia,Cinnamaldehyde,contains
Cinnamomum cassia,organic acids,contains
Cinnamon,Carotene,contains
Cinnamon,Riboflavin,contains
Cinnamon,Rich in powerful antioxidants,contains
Cinnamon,Thiamine,contains
Cinnamon,Vitamin A,contains
Cinnamon,Vitamin C,contains
Cinnamon,Vitamin E,contains
Cinnamon,among other nutrients. The peel contains volatile oils,contains
Cinnamon,etc.,contains
Cinnamon,mainly cinnamaldehyde,contains
Cinnamon,phenylpropyl acetate,contains
Cinnamon,small amounts of cinnamyl acetate,contains
Cinnamon,such as polyphenols.,contains
Citrus pollen,Rich in vitamin C,contains
Citrus pollen,citrus polyphenols,contains
Citrus pollen,immune-boosting effects.,contains
Citrus pollen,it has antioxidant,contains
Clausena excavata,Clausenamide B,contains
Clausena excavata,Clausenamide C,contains
Clausena excavata,Clausenamide D,contains
Clausena excavata,Coumarins,contains
Clausena excavata,Neocinnamamide A,contains
Clausena excavata,alkaloids,contains
Clausena excavata,etc.,contains
Clausena excavata,flavonoid glycosides,contains
Clausena excavata,phenols,contains
Clausena excavata,terpenes,contains
Clausena excavata,various amino acids,contains
Clausena excavata,volatile oils,contains
Clematis,Protoanemonin,contains
Clematis,alkaloids,contains
Clematis,anemonin,contains
Clematis,etc.,contains
Clematis,flavonoids,contains
Clematis,lignans,contains
Clematis,phenols,contains
Clematis,saponins,contains
Clematis,sterols,contains
Clematis,sugars,contains
Clematis fruit,Clematis contains iron,contains
Clematis fruit,dietary fiber,contains
Clematis fruit,etc.,contains
Clematis fruit,minerals,contains
Clematis fruit,vitamin C,contains
Cleome,0.18 mg of Zinc,contains
Cleome,0.6 mg of Iron,contains
Cleome,152 mg of Potassium,contains
Cleome,215.7 mg of Sodium,contains
Cleome,26 mg of Calcium,contains
Cleome,33 mg of Magnesium,contains
Cleome,6 mg of Phosphorus,contains
Cleome,Per 100 grams of Cleome gyn,contains
Cleome,carbohydrates.,contains
Cleome,etc. Additionally,contains
Cleome,fat,contains
Cleome,it contains 12 mg of Vitamin C,contains
Cleome,it contains a certain amount of water,contains
Cleome,protein,contains
Cleome,ra,contains
Cleyera grandiflora,Vitamin C,contains
Cleyera grandiflora,cellulose,contains
Cleyera grandiflora,etc.,contains
Cleyera grandiflora,minerals,contains
Cleyera japonica,Vitamin C,contains
Cleyera japonica,etc.,contains
Cleyera japonica,minerals,contains
Cloud Tree,The fruit is sweet,contains
Cloud Tree,edible,contains
Cloud Tree,potential industrial value.,contains
Cloud Tree,sour when ripe,contains
Cloud Tree,the seeds contain about 9.37% oil,contains
Cloud Tree,with edible,contains
Clove,Volatile oils,contains
Clove,coumarins,contains
Clove,etc.,contains
Clove,flavonoids,contains
Clove,mucilage,contains
Clove,proteins,contains
Clove,starch,contains
Clove pollen,Contains volatile oils,contains
Clove pollen,anti-inflammatory,contains
Clove pollen,flavonoids,contains
Clove pollen,stomach-warming effects.,contains
Clove pollen,with antibacterial,contains
Coarse-haired Red Camellia,Rich in tea polyphenols,contains
Coarse-haired Red Camellia,amino acids,contains
Coarse-haired Red Camellia,anti-fatigue,contains
Coarse-haired Red Camellia,caffeine,contains
Coarse-haired Red Camellia,etc. Has effects such as antioxidant,contains
Coarse-haired Red Camellia,lowering cholesterol.,contains
Coarse-haired Red Camellia,promoting metabolism,contains
Coarse-haired Red Camellia,vitamin C,contains
Cocoa,Carbohydrates: Cocoa contains a certain amount of carbohydrates,contains
Cocoa,providing energy for the body.,contains
Coconut,Coconut oil (rich in medium-chain fatty acids),contains
Coconut,calcium,contains
Coconut,carbohydrates,contains
Coconut,etc.),contains
Coconut,magnesium,contains
Coconut,minerals (potassium,contains
Coconut,protein,contains
Coconut,vitamins.,contains
Codonopsis,(6R,contains
Codonopsis,10-diyn-1,contains
Codonopsis,12-dien-8,contains
Codonopsis,6,contains
Codonopsis,7-triol,contains
Codonopsis,7R)-trans,contains
Codonopsis,Codonopsides,contains
Codonopsis,atractylenolide III,contains
Codonopsis,codonopsoside IV,contains
Codonopsis,etc.,contains
Codonopsis,syringin,contains
Codonopsis,trans-tetradeca-4,contains
Codonopsis,vanillic acid,contains
Coffea arabica,Contains a large amount of polyphenols,contains
Coffea arabica,etc.,contains
Coffea arabica,ferulic acid,contains
Coffea arabica,hydroxybenzoic acid,contains
Coffea arabica,isoferulic acid,contains
Coffea arabica,its derivatives,contains
Coffea arabica,mainly including caffeic acid,contains
Coffea arabica,with a polyphenol mass fraction of 1.8% to 8.6%,contains
Cola Nut,Contains theobromine,contains
Cola Nut,caffeine,contains
Cola Nut,carbohydrates,contains
Cola Nut,fats,contains
Cola Nut,proteins,contains
Cola Nut,various minerals,contains
Cola Nut,vitamins.,contains
Combined-column Rough-fruited Tea,Contains tea polyphenols,contains
Combined-column Rough-fruited Tea,amino acids,contains
Combined-column Rough-fruited Tea,anti-aging,contains
Combined-column Rough-fruited Tea,etc. Helps with antioxidant,contains
Combined-column Rough-fruited Tea,improving blood circulation.,contains
Combined-column Rough-fruited Tea,liver protection,contains
Combined-column Rough-fruited Tea,minerals,contains
Combined-column Rough-fruited Tea,vitamins,contains
Common Wasp Venom,Rich in toxins such as phospholipase,contains
Common Wasp Venom,commonly used in allergy research.,contains
Common Wasp Venom,hyaluronidase,contains
Common Wasp Venom,polypeptides,contains
Conch,B vitamins including vitamin B1,contains
Conch,Snail meat is high in protein,contains
Conch,containing various essential amino acids for the human body,contains
Conch,contains various vitamins such as vitamin A,contains
Conch,crude ash.,contains
Conch,including flavor-enhancing amino acids such as glutamic acid. It is rich in minerals like calcium,contains
Conch,iron,contains
Conch,niacin. It also includes carbohydrates,contains
Conch,phosphorus,contains
Conch,vitamin B2,contains
Conch,vitamin E,contains
Conch,zinc,contains
Coptis,Pistacia chinensis is an excellent woody oilseed tree species,contains
Coptis,a bitter taste,contains
Coptis,arachidonic acid,contains
Coptis,characterized by high oil yield,contains
Coptis,good oil quality. Research results have shown that the seed oil content is 42.26% (kernel oil content is 56.5%),contains
Coptis,incense. The fatty acids mainly include palmitic acid,contains
Coptis,linoleic acid,contains
Coptis,linolenic acid. The combined content of oleic acid,contains
Coptis,oleic acid,contains
Coptis,palmitic acid accounts for about 95% of the total fatty acids.,contains
Coptis,palmitoleic acid,contains
Coptis,seed oil yield is 20-30%,contains
Coptis,stearic acid,contains
Coptis,the shell oil content is 3.28%. It is a non-drying oil with a light yellow-green color,contains
Coptis,which can be used after refining. Fresh leaves contain 0.12% aromatic oil,contains
Coptis,which can be used as a health food additive,contains
Coptis chinensis,Contains various alkaloids such as berberine,contains
Coptis chinensis,Coptis chinensis contains various alkaloids (such as berberine),contains
Coptis chinensis,amino acids,contains
Coptis chinensis,anti-inflammatory,contains
Coptis chinensis,as well as various trace elements,contains
Coptis chinensis,coptisine,contains
Coptis chinensis,etc.,contains
Coptis chinensis,flavonoids,contains
Coptis chinensis,heat-clearing detoxifying effects.,contains
Coptis chinensis,methylcoptisine,contains
Coptis chinensis,other nutrients.,contains
Coptis chinensis,phenols,contains
Coptis chinensis,vitamins,contains
Coptis chinensis,with significant antibacterial,contains
Cordyceps sinensis,Crude protein,contains
Cordyceps sinensis,ash,contains
Cordyceps sinensis,crude fat,contains
Cordyceps sinensis,crude fiber,contains
Cordyceps sinensis,sugar,contains
Coriander,Carbohydrates,contains
Coriander,Fiber,contains
Coriander,Protein,contains
Coriander juice,Cori,contains
Coriander juice,antioxidants,contains
Coriander juice,dietary fiber,contains
Coriander juice,er juice contains vitamin C,contains
Coriander juice,er oil.,contains
Coriander juice,potassium,contains
Coriander juice,unique aromatic components such as cori,contains
Corn Pollen,Contains abundant protein,contains
Corn Pollen,fatty acids,contains
Corn Pollen,lipid-lowering effects.,contains
Corn Pollen,vitamins,contains
Corn Pollen,with antioxidant,contains
Corn Pollen Beverage,C,contains
Corn Pollen Beverage,Contains various vitamins (such as vitamin A,contains
Corn Pollen Beverage,E),contains
Corn Pollen Beverage,amino acids.,contains
Corn Pollen Beverage,minerals (such as zinc,contains
Corn Pollen Beverage,selenium),contains
Cornus Tea,Cornus contains cornuside,contains
Cornus Tea,minerals.,contains
Cornus Tea,ursolic acid,contains
Cornus Tea,various amino acids,contains
Cornus Tea,vitamins,contains
Cornus elliptica,The leaves,contains
Cornus elliptica,fruit of Cornus elliptica are rich in vitamin C.,contains
Cornus officinalis,Cornus walteri has relatively low levels of trace elements such as Fe,contains
Cornus officinalis,Cr,contains
Cornus officinalis,Cr content is 0.36 mg/kg,contains
Cornus officinalis,Cu,contains
Cornus officinalis,Cu content is 0 (or undetectably low),contains
Cornus officinalis,Mn,contains
Cornus officinalis,Mn content is 8.13 mg/kg,contains
Cornus officinalis,Ni content is 1.22 mg/kg. The total trace element content is also low,contains
Cornus officinalis,Ni. For example,contains
Cornus officinalis,When comparing various plants,contains
Cornus officinalis,Zn,contains
Cornus officinalis,Zn content is 4.73 mg/kg,contains
Cornus officinalis,at 241.83 mg/kg.,contains
Cornus officinalis,the Fe content is 201.53 mg/kg,contains
Corydalis,Alkaloids,contains
Corydalis,a large amount of starch,contains
Corydalis,a small amount of mucilage,contains
Cotton,The main economic value lies in its fiber,contains
Cotton,certain parts of the cotton plant also have medicinal value.,contains
Cotton,cottonseed cake can be used as feed,contains
Cotton,cottonseed can be pressed for oil,contains
Cotton,widely used in the textile industry,contains
Cotton pollen,Rich in vitamin E,contains
Cotton pollen,immune-regulating effects. 50,contains
Cotton pollen,it has antioxidant,contains
Cotton pollen,minerals,contains
Cowfruit Vine,Contains rich vitamin C,contains
Cowfruit Vine,amino acids.,contains
Cowfruit Vine,calcium,contains
Cowfruit Vine,iron,contains
Cowfruit Vine,minerals such as potassium,contains
Cowfruit Vine,plant fibers,contains
Cowpea,B vitamins,contains
Cowpea,Rich in fiber,contains
Cowpea,calcium.,contains
Cowpea,protein,contains
Coyote,Contains proteins,contains
Coyote,fats,contains
Coyote,minerals commonly found in other types of meat.,contains
Coyote,vitamins,contains
Crabapple,Crabapples are rich in vitamin C,contains
Crabapple,amino acids,contains
Crabapple,more.,contains
Crabapple,organic acids,contains
Crabapple,sugars,contains
Crabapple berry,Crabapple berries are rich in vitamin C,contains
Crabapple berry,antioxidants,contains
Crabapple berry,etc.,contains
Crabapple berry,malic acid,contains
Crabapple berry,pectin,contains
Cranberry,No specific nutritional information available.,contains
Cranberry Juice,Cranberry juice is rich in vitamin C,contains
Cranberry Juice,antioxidants,contains
Cranberry Juice,dietary fiber,contains
Cranberry Juice,helps prevent urinary tract infections.,contains
Cranberry Juice,proanthocyanidins,contains
Crown Daisy Tea,C,contains
Crown Daisy Tea,Crown Daisy tea contains vitamins A,contains
Crown Daisy Tea,K,contains
Crown Daisy Tea,antioxidants,contains
Crown Daisy Tea,calcium,contains
Crown Daisy Tea,detoxifying,contains
Crown Daisy Tea,dietary fiber,contains
Crown Daisy Tea,has the effects of clearing heat,contains
Crown Daisy Tea,iron,contains
Crown Daisy Tea,lowering blood pressure.,contains
Cucumber,Contains a large amount of water,contains
Cucumber,potassium.,contains
Cucumber,vitamin C,contains
Cucumber,vitamin K,contains
Cucumber Juice,C,contains
Cucumber Juice,Cucumber juice contains vitamins A,contains
Cucumber Juice,K,contains
Cucumber Juice,as well as water,contains
Cucumber Juice,dietary fiber.,contains
Cucumber Juice,magnesium,contains
Cucumber Juice,minerals such as potassium,contains
Cucumber Juice,silicon,contains
Cucumis melo juice,C,contains
Cucumis melo juice,Cucumis melo var. agrestis juice contains vitamin A,contains
Cucumis melo juice,antioxidants,contains
Cucumis melo juice,dietary fiber,contains
Cucumis melo juice,potassium,contains
Cucumis melo juice,promote digestive health.,contains
Cucumis melo juice,which help enhance immunity,contains
Cudrania tricuspidata,No specific nutritional information available.,contains
Cumin,Includes carbohydrates,contains
Cumin,etc.,contains
Cumin,fats,contains
Cumin,fiber,contains
Cumin,proteins,contains
Cumin juice,Cumin juice contains B vitamins,contains
Cumin juice,calcium),contains
Cumin juice,dietary fiber,contains
Cumin juice,minerals (such as iron,contains
Cumin juice,unique aromatic components such as cumin oil.,contains
Cymbopogon flexuosus,Leaves contain lemon aroma,contains
Cymbopogon flexuosus,distilled to produce dark red essential oil,contains
Cymbopogon flexuosus,etc.,contains
Cymbopogon flexuosus,soaps,contains
Cymbopogon flexuosus,used as raw material for artificial essential oils,contains
Cynanchum bungei,Polyhydroxy pregnane glycosides,contains
Cynanchum bungei,amino acids,contains
Cynanchum bungei,calcium,contains
Cynanchum bungei,crude fat,contains
Cynanchum bungei,crude protein,contains
Cynanchum bungei,iron,contains
Cynanchum bungei,magnesium,contains
Cynanchum bungei,various vitamins,contains
Cynanchum bungei,zinc,contains
Cynanchum paniculatum,C21 steroids,contains
Cynanchum paniculatum,Volatile oils,contains
Cynanchum paniculatum,polysaccharides,contains
Cynomorium,Contains anthocyanins,contains
Cynomorium,catechin,contains
Cynomorium,daucosterol,contains
Cynomorium,gallic acid,contains
Cynomorium,tannins,contains
Cynomorium,triterpenoid saponins,contains
Cynomorium,ursolic acid,contains
Cynomorium,β-sitosterol,contains
Cyperus esculentus,Tubers are rich in starch,contains
Cyperus esculentus,also has certain medicinal value,contains
Cyperus esculentus,detoxifying,contains
Cyperus esculentus,edible or used for industrial processing,contains
Cyperus esculentus,oil,contains
Cyperus esculentus,stimulating appetite.,contains
Cyperus esculentus,strengthening the spleen,contains
Cyperus esculentus,such as clearing heat,contains
Cyperus esculentus,sugar,contains
Cypress,Volatile oils,contains
Cypress,etc.,contains
Cypress,flavonoids,contains
Cypress,inorganic elements,contains
Cypress,lignans,contains
Cypress,organic acids,contains
Cypress,phenolic compounds,contains
Cypress,polysaccharides,contains
Cypress,terpenes,contains
Dabry's sturgeon,EPA (eicosapentaenoic acid),contains
Dabry's sturgeon,Very rich in protein,contains
Dabry's sturgeon,approximately 16.1% to 18.1%,contains
Dabry's sturgeon,cerebrovascular health,contains
Dabry's sturgeon,containing various essential amino acids for the human body,contains
Dabry's sturgeon,helping to soften blood vessels,contains
Dabry's sturgeon,improve memory.,contains
Dabry's sturgeon,including DHA (docosahexaenoic acid),contains
Dabry's sturgeon,including lysine,contains
Dabry's sturgeon,isoleucine,contains
Dabry's sturgeon,known as 'brain gold',contains
Dabry's sturgeon,leucine,contains
Dabry's sturgeon,methionine,contains
Dabry's sturgeon,phenylalanine,contains
Dabry's sturgeon,promote brain development,contains
Dabry's sturgeon,threonine,contains
Dabry's sturgeon,tryptophan,contains
Dabry's sturgeon,valine. It is also rich in highly unsaturated fatty acids,contains
Dabry's sturgeon,which are very beneficial for cardiovascular,contains
Dachang Tea,Contains tea polyphenols,contains
Dachang Tea,amino acids,contains
Dachang Tea,blood pressure-lowering effects.,contains
Dachang Tea,caffeine,contains
Dachang Tea,digestive,contains
Dachang Tea,etc. Has antioxidant,contains
Dachang Tea,minerals,contains
Dachang Tea,refreshing,contains
Dahongpao,Volatile oils (such as limonene,contains
Dahongpao,cumene,contains
Dahongpao,etc.,contains
Dahongpao,etc.),contains
Dahongpao,geraniol,contains
Dahongpao,sterols,contains
Dahongpao,unsaturated organic acids,contains
Dalbergia,Volatile oils,contains
Dalbergia,flavonoids,contains
Dalbergia odorifera,Volatile oils,contains
Dalbergia odorifera,etc.,contains
Dalbergia odorifera,flavonoids,contains
Dalbergia odorifera,sesquiterpenes,contains
Dali Tea,Contains tea polyphenols,contains
Dali Tea,amino acids,contains
Dali Tea,blood pressure-lowering effects.,contains
Dali Tea,caffeine,contains
Dali Tea,digestive,contains
Dali Tea,etc. Has antioxidant,contains
Dali Tea,minerals,contains
Dali Tea,refreshing,contains
Dandelion Tea,C,contains
Dandelion Tea,Contains vitamins A,contains
Dandelion Tea,K,contains
Dandelion Tea,calcium,contains
Dandelion Tea,etc.,contains
Dandelion Tea,folic acid,contains
Dandelion Tea,iron,contains
Dandelion Tea,minerals,contains
Dandelion Tea,taraxasterol,contains
Dandelion pollen,C,contains
Dandelion pollen,Rich in vitamins A,contains
Dandelion pollen,detoxifying,contains
Dandelion pollen,diuresis,contains
Dandelion pollen,minerals,contains
Dandelion pollen,reducing swelling.,contains
Dandelion pollen,with effects of clearing heat,contains
Danzhai Bald Tea,Contains tea polyphenols,contains
Danzhai Bald Tea,amino acids,contains
Danzhai Bald Tea,caffeine,contains
Danzhai Bald Tea,digestive,contains
Danzhai Bald Tea,etc. Has antioxidant,contains
Danzhai Bald Tea,lipid-lowering effects.,contains
Danzhai Bald Tea,minerals,contains
Danzhai Bald Tea,refreshing,contains
Dayao Short-styled Camellia,Rich in tea polyphenols,contains
Dayao Short-styled Camellia,amino acids,contains
Dayao Short-styled Camellia,anti-aging,contains
Dayao Short-styled Camellia,cardiovascular protection effects.,contains
Dayao Short-styled Camellia,etc. It has antioxidant,contains
Dayao Short-styled Camellia,vitamins,contains
Dehong Tea,Contains tea polyphenols,contains
Dehong Tea,amino acids,contains
Dehong Tea,caffeine,contains
Dehong Tea,digestive,contains
Dehong Tea,etc. Has antioxidant,contains
Dehong Tea,lipid-lowering effects.,contains
Dehong Tea,minerals,contains
Dehong Tea,refreshing,contains
Dendrobium,Dendrobium contains dendrobium polysaccharides,contains
Dendrobium,Dendrobium is rich in polysaccharides,contains
Dendrobium,Polysaccharides,contains
Dendrobium,alkaloids,contains
Dendrobium,amino acids,contains
Dendrobium,anti-fatigue.,contains
Dendrobium,dendrobine,contains
Dendrobium,etc.,contains
Dendrobium,flavonoids,contains
Dendrobium,has effects such as enhancing immunity,contains
Dendrobium,other nutrients.,contains
Dendrobium,trace elements,contains
Dendrobium,volatile oils,contains
Desert Nut,Desert Nut is rich in nutrients. In addition to protein,contains
Desert Nut,carbohydrates,contains
Desert Nut,fat,contains
Desert Nut,iron content compared to other nuts.,contains
Desert Nut,phosphorus,contains
Desert Nut,the kernels contain abundant carotene,contains
Desert Nut,vitamin B1,contains
Desert Nut,vitamin B2,contains
Desert Nut,vitamin E. The kernels contain all eight essential amino acids required by the human body,contains
Desert Nut,with levels far exceeding those in walnuts. The kernels also have higher calcium,contains
Dhole,Contains proteins,contains
Dhole,fats,contains
Dhole,minerals commonly found in other types of meat.,contains
Dhole,vitamins,contains
Dian-Myanmar Separated-stamen Camellia,Generally contains tea polyphenols,contains
Dian-Myanmar Separated-stamen Camellia,amino acids,contains
Dian-Myanmar Separated-stamen Camellia,anti-inflammatory,contains
Dian-Myanmar Separated-stamen Camellia,beauty-enhancing effects.,contains
Dian-Myanmar Separated-stamen Camellia,cardiovascular protection,contains
Dian-Myanmar Separated-stamen Camellia,etc. It has antioxidant,contains
Dian-Myanmar Separated-stamen Camellia,minerals,contains
Dian-Myanmar Separated-stamen Camellia,vitamins,contains
Dianbei Red Camellia,Contains tea polyphenols,contains
Dianbei Red Camellia,amino acids,contains
Dianbei Red Camellia,blood pressure-lowering effects.,contains
Dianbei Red Camellia,caffeine,contains
Dianbei Red Camellia,digestive,contains
Dianbei Red Camellia,etc. It has antioxidant,contains
Dianbei Red Camellia,minerals,contains
Dianbei Red Camellia,refreshing,contains
Dianbei Red Camellia,vitamin C,contains
Dianthus superbus,Crude Ash,contains
Dianthus superbus,Crude Fiber,contains
Dianthus superbus,Crude Protein,contains
Dianthus superbus,Nitrogen-Free Extract,contains
Dianthus superbus,Phosphate,contains
Dianthus superbus,Water,contains
Dictamnus Root Bark,Alkaloids,contains
Dictamnus Root Bark,flavonoids,contains
Dictamnus Root Bark,limonoids,contains
Dill,coumarins,contains
Dill,etc.,contains
Dill,flavonoids,contains
Dill,glucosides,contains
Dill,volatile oils,contains
Dill juice,Dill juice contains vitamin C,contains
Dill juice,dietary fiber,contains
Dill juice,potassium,contains
Dill juice,unique aromatic components such as dill ketone.,contains
Dioscorea nipponica,Dioscin,contains
Diospyros glaucifolia,Vitamin C,contains
