实体A,实体B,关系,
沙参,植物界,属于,
沙参,被子植物门,属于,
沙参,木兰纲,属于,
沙参,菊目,属于,
沙参,桔梗科,属于,
沙参,沙参属,属于,
沙参,沙参,属于,
沙参,沙参皂甙,含有,
川椒,植物界,属于,
川椒,被子植物门,属于,
川椒,双子叶植物纲,属于,
川椒,无患子目,属于,
川椒,芸香科,属于,
川椒,花椒属,属于,
川椒,川椒,属于,
川椒,佛手柑内酯,含有,
川椒,花椒烯,含有,
川椒,苯甲酸,含有,
佩兰,植物界,属于,
佩兰,被子植物门,属于,
佩兰,木兰纲,属于,
佩兰,菊目,属于,
佩兰,菊科,属于,
佩兰,泽兰属,属于,
佩兰,佩兰,属于,
佩兰,挥发油,含有,
佩兰,黄酮类,含有,
佩兰,三萜类化合物,含有,
麦冬,植物界,属于,
麦冬,被子植物门,属于,
麦冬,单子叶植物纲,属于,
麦冬,天门冬目,属于,
麦冬,百合科,属于,
麦冬,沿阶草属,属于,
麦冬,麦冬,属于,
麦冬,甾体皂苷,含有,
麦冬,多糖,含有,
麦冬,高异黄酮类化合物,含有,
麦冬,挥发油,含有,
麦冬,多种微量元素,含有,
百足藤,植物界,属于,
百足藤,被子植物门,属于,
百足藤,木兰纲,属于,
百足藤,泽泻目,属于,
百足藤,天南星科,属于,
百足藤,石柑属,属于,
百足藤,百足藤,属于,
百足藤,草酸钙晶体,含有,
大红袍,植物界,属于,
大红袍,被子植物门,属于,
大红袍,双子叶植物纲,属于,
大红袍,报春花目,属于,
大红袍,紫金牛科,属于,
大红袍,铁仔属,属于,
大红袍,铁仔,属于,
大红袍,挥发油 (为柠檬烯,含有,
大红袍,枯醇,含有,
大红袍,香叶醇,含有,
大红袍,淄醇,含有,
大红袍,不饱和有机酸,含有,
灵香草,植物界,属于,
灵香草,被子植物门,属于,
灵香草,木兰纲,属于,
灵香草,杜鹃花目,属于,
灵香草,报春花科,属于,
灵香草,珍珠菜属,属于,
灵香草,灵香草,属于,
灵香草,挥发油,含有,
灵香草,生物碱,含有,
灵香草,黄酮类,含有,
灵香草,三萜类,含有,
葫芦巴,植物界,属于,
葫芦巴,被子植物门,属于,
葫芦巴,双子叶植物纲,属于,
葫芦巴,蔷薇目,属于,
葫芦巴,豆科,属于,
葫芦巴,胡卢巴属,属于,
葫芦巴,胡芦巴,属于,
葫芦巴,多种生物碱,含有,
葫芦巴,皂甙,含有,
葫芦巴,黄酮类,含有,
葫芦巴,脂肪酸,含有,
葫芦巴,类脂,含有,
化橘红,植物界,属于,
化橘红,被子植物门,属于,
化橘红,双子叶植物纲,属于,
化橘红,无患子目,属于,
化橘红,芸香科,属于,
化橘红,柑橘属,属于,
化橘红,橘红,属于,
化橘红,挥发油,含有,
化橘红,黄酮类化合物,含有,
化橘红,碳水化合物,含有,
化橘红,胡萝卜素,含有,
化橘红,维生素B1,含有,
化橘红,B2,含有,
化橘红,C,含有,
化橘红,烟酸,含有,
化橘红,钙,含有,
化橘红,磷,含有,
地黄,植物界,属于,
地黄,被子植物门,属于,
地黄,双子叶植物纲,属于,
地黄,唇形目,属于,
地黄,玄参科,属于,
地黄,地黄属,属于,
地黄,地黄,属于,
地黄,黄酮类化合物,含有,
地黄,挥发油,含有,
地黄,环烯醚萜类化合物,含有,
地黄,三萜类化合物,含有,
地黄,皂甙,含有,
地黄,香豆素类化合物,含有,
紫草,植物界,属于,
紫草,被子植物门,属于,
紫草,木兰纲,属于,
紫草,紫草目,属于,
紫草,紫草科,属于,
紫草,紫草属,属于,
紫草,紫草,属于,
紫草,紫草素,含有,
紫草,乙酰紫草素,含有,
紫草,β-羟基异戊酰紫草素,含有,
紫草,β,含有,
紫草,β’-二甲基丙烯酰紫草素,含有,
辣椒,植物界,属于,
辣椒,维管植物门,属于,
辣椒,木兰纲,属于,
辣椒,茄目,属于,
辣椒,茄科,属于,
辣椒,辣椒属,属于,
辣椒,辣椒,属于,
辣椒,辣椒素,含有,
辣椒,辣椒碱,含有,
辣椒,维生素,含有,
辣椒,辣椒色素,含有,
辣椒,有机酸,含有,
辣椒,蛋白质,含有,
辣椒,糖和矿物质,含有,
荆芥,植物界,属于,
荆芥,木贼门,属于,
荆芥,木兰纲,属于,
荆芥,唇形目,属于,
荆芥,唇形科,属于,
荆芥,荆芥属,属于,
荆芥,荆芥,属于,
荆芥,挥发油,含有,
荆芥,单萜类成分,含有,
荆芥,黄酮类,含有,
假黄皮,植物界,属于,
假黄皮,被子植物门,属于,
假黄皮,木兰纲,属于,
假黄皮,无患子目,属于,
假黄皮,芸香科,属于,
假黄皮,黄皮属,属于,
假黄皮,假黄皮,属于,
假黄皮,香豆素,含有,
假黄皮,萜类,含有,
假黄皮,生物碱,含有,
假黄皮,挥发油,含有,
五加皮,植物界,属于,
五加皮,被子植物门,属于,
五加皮,双子叶植物纲,属于,
五加皮,伞形目,属于,
五加皮,五加科,属于,
五加皮,吊石苣苔属,属于,
五加皮,细柱五加,属于,
五加皮,丁香甙,含有,
五加皮,刺五加甙B1,含有,
五加皮,右旋芝麻素,含有,
五加皮,16α-羟基-(-)-贝壳松-19-酸,含有,
五加皮,β-谷甾醇,含有,
五加皮,β-谷甾醇葡萄糖甙,含有,
五加皮,硬脂酸,含有,
五加皮,棕榈酸,含有,
五加皮,亚麻酸,含有,
五加皮,维生素A,含有,
五加皮,B1,含有,
云木香,植物界,属于,
云木香,被子植物门,属于,
云木香,木兰纲,属于,
云木香,橘目,属于,
云木香,菊科,属于,
云木香,云木香属,属于,
云木香,云木香,属于,
云木香,云木香的化学成分主要包括挥发油,含有,
云木香,木香碱,含有,
云木香,菊糖,含有,
云木香,木香内酯,含有,
云木香,二氢木香内酯,含有,
云木香,α-木香醇,含有,
云木香,α-木香酸,含有,
云木香,风毛菊内酯,含有,
云木香,去氢木香内酯,含有,
云木香,异去氢木香内酯,含有,
云木香,异土氢木香内酯,含有,
云木香,单紫杉烯,含有,
云木香,α,含有,
云木香,β-木香烯,含有,
云木香,α,含有,
云木香,β-紫罗兰酮,含有,
云木香,β-芹子烯,含有,
牡丹皮,植物界,属于,
牡丹皮,被子植物门,属于,
牡丹皮,双子叶植物纲,属于,
牡丹皮,毛茛目,属于,
牡丹皮,毛茛科,属于,
牡丹皮,芍药属,属于,
牡丹皮,牡丹,属于,
牡丹皮,丹皮酚,含有,
牡丹皮,芍药苷,含有,
牡丹皮,挥发油,含有,
陈皮,植物界,属于,
陈皮,被子植物门,属于,
陈皮,双子叶植物纲,属于,
陈皮,无患子目,属于,
陈皮,芸香科,属于,
陈皮,柑橘属,属于,
陈皮,橘,属于,
陈皮,挥发油,含有,
陈皮,黄酮类化合物,含有,
陈皮,生物碱,含有,
陈皮,多糖,含有,
陈皮,维生素和矿物质,含有,
甘松,植物界,属于,
甘松,被子植物门,属于,
甘松,木兰纲,属于,
甘松,川续断目,属于,
甘松,忍冬科,属于,
甘松,甘松属,属于,
甘松,甘松,属于,
甘松,挥发油,含有,
甘松,倍半萜类成分,含有,
甘松,三萜成分,含有,
甘松,环烯醚萜化合物,含有,
细辛,植物界,属于,
细辛,被子植物门,属于,
细辛,木兰纲,属于,
细辛,胡椒目,属于,
细辛,马兜铃科,属于,
细辛,细辛属,属于,
细辛,细辛,属于,
细辛,挥发油,含有,
细辛,多种生物活性成分,含有,
细辛,微量元素,含有,
补骨脂,植物界,属于,
补骨脂,被子植物门,属于,
补骨脂,木兰纲,属于,
补骨脂,豆目,属于,
补骨脂,豆科,属于,
补骨脂,补骨脂属,属于,
补骨脂,补骨脂,属于,
补骨脂,香豆素类,含有,
补骨脂,黄酮类,含有,
补骨脂,单萜酚类,含有,
补骨脂,挥发油类,含有,
补骨脂,树脂和豆甾醇,含有,
檀香,植物界,属于,
檀香,被子植物门,属于,
檀香,木兰纲,属于,
檀香,檀香目,属于,
檀香,檀香科,属于,
檀香,檀香属,属于,
檀香,檀香,属于,
檀香,挥发油,含有,
檀香,α,含有,
檀香,β-檀香烯,含有,
檀香,檀萜,含有,
檀香,檀萜酮,含有,
檀香,α-檀萜醇,含有,
檀香,檀香酮,含有,
檀香,檀香酸,含有,
檀香,檀油酸,含有,
檀香,檀香色素,含有,
檀香,去氧檀香色素,含有,
知母,植物界,属于,
知母,被子植物门,属于,
知母,木兰纲,属于,
知母,天门冬目,属于,
知母,天门冬科,属于,
知母,知母属,属于,
知母,知母,属于,
知母,甾体皂苷类化合物和黄酮类化合物为主,含有,
知母,苯丙素类,含有,
知母,生物碱类,含有,
知母,有机酸类,含有,
威灵仙,植物界,属于,
威灵仙,被子植物门,属于,
威灵仙,木兰纲,属于,
威灵仙,毛茛目,属于,
威灵仙,毛茛科,属于,
威灵仙,铁线莲属,属于,
威灵仙,威灵仙,属于,
威灵仙,原白头翁素,含有,
威灵仙,白头翁内酯,含有,
威灵仙,甾醇,含有,
威灵仙,糖类,含有,
威灵仙,皂苷,含有,
威灵仙,黄酮,含有,
威灵仙,木脂素,含有,
威灵仙,酚类,含有,
威灵仙,生物碱,含有,
射干,植物界,属于,
射干,被子植物门,属于,
射干,木兰纲,属于,
射干,天门冬目,属于,
射干,鸢尾科,属于,
射干,射干属,属于,
射干,射干,属于,
射干,鸢尾黄酮,含有,
射干,鸢尾黄酮苷,含有,
射干,鸢尾苷,含有,
射干,射干酮,含有,
射干,紫檀素,含有,
苦参,植物界,属于,
苦参,被子植物门,属于,
苦参,木兰纲,属于,
苦参,豆目,属于,
苦参,豆科,属于,
苦参,苦参属,属于,
苦参,苦参,属于,
苦参,苦参碱和氧化苦参碱,含有,
川贝母,植物界,属于,
川贝母,被子植物亚门,属于,
川贝母,木兰纲,属于,
川贝母,百合目,属于,
川贝母,百合科,属于,
川贝母,贝母属,属于,
川贝母,川贝母,属于,
川贝母,生物碱,含有,
川贝母,皂苷与黄酮类化合物,含有,
川贝母,挥发油,含有,
川贝母,甾体类生物碱,含有,
川贝母,甾醇类生物,含有,
川贝母,多种无机元素,含有,
淮山,植物界,属于,
淮山,被子植物门,属于,
淮山,单子叶植物纲,属于,
淮山,百合目,属于,
淮山,薯蓣科,属于,
淮山,薯蓣属,属于,
淮山,薯蓣,属于,
淮山,粉,含有,
淮山,蛋白质,含有,
淮山,氨基酸,含有,
淮山,维生素,含有,
淮山,矿物质,含有,
淮山,果胶质,含有,
淮山,皂苷,含有,
三七,植物界,属于,
三七,被子植物门,属于,
三七,木兰纲,属于,
三七,伞形目,属于,
三七,五加科,属于,
三七,人参属,属于,
三七,三七,属于,
三七,皂苷类化合物,含有,
三七,挥发油,含有,
三七,氨基酸,含有,
三七,多糖,含有,
三七,无机元素和其他成分,含有,
石斛,植物界,属于,
石斛,维管植物门,属于,
石斛,木兰纲,属于,
石斛,天门冬目,属于,
石斛,兰科,属于,
石斛,石斛属,属于,
石斛,石斛,属于,
石斛,多糖,含有,
石斛,生物碱,含有,
石斛,黄酮类,含有,
石斛,挥发油,含有,
印加萝卜,植物界,属于,
印加萝卜,维管植物门,属于,
印加萝卜,木兰纲,属于,
印加萝卜,十字花目,属于,
印加萝卜,十字花科,属于,
印加萝卜,独行菜属,属于,
印加萝卜,印加萝卜,属于,
印加萝卜,蛋白质,含有,
印加萝卜,维生素,含有,
印加萝卜,矿物质,含有,
覆盆子,植物界,属于,
覆盆子,被子植物门,属于,
覆盆子,木兰纲,属于,
覆盆子,蔷薇目,属于,
覆盆子,蔷薇科,属于,
覆盆子,悬钩子属,属于,
覆盆子,覆盆子,属于,
覆盆子,有机酸,含有,
覆盆子,糖类,含有,
覆盆子,维生素,含有,
覆盆子,矿物质,含有,
覆盆子,氨基酸,含有,
覆盆子,黄酮类化合物,含有,
覆盆子,生物碱类化合物,含有,
覆盆子,花色素苷,含有,
透骨草,植物界,属于,
透骨草,被子植物门,属于,
透骨草,木兰纲,属于,
透骨草,唇形目,属于,
透骨草,透骨草科,属于,
透骨草,透骨草属,属于,
透骨草,北美透骨草,属于,
透骨草,皂苷类,含有,
透骨草,多糖,含有,
透骨草,生物碱,含有,
透骨草,黄酮类,含有,
透骨草,维生素,含有,
香附子,植物界,属于,
香附子,被子植物门,属于,
香附子,木兰纲,属于,
香附子,禾本目,属于,
香附子,莎草科,属于,
香附子,莎草属,属于,
香附子,香附子,属于,
香附子,挥发油,含有,
香附子,香附烯,含有,
香附子,香附醇,含有,
香附子,异香附醇,含有,
香附子,1、8-桉叶素,含有,
香附子,对-聚伞花素,含有,
香附子,α-和β-香附酮,含有,
香附子,α-和β-莎草醇,含有,
紫苏,植物界,属于,
紫苏,被子植物门,属于,
紫苏,木兰纲,属于,
紫苏,唇形目,属于,
紫苏,唇形科,属于,
紫苏,紫苏属,属于,
紫苏,紫苏,属于,
紫苏,挥发油,含有,
紫苏,脂肪酸,含有,
紫苏,黄酮,含有,
紫苏,酚酸,含有,
紫苏,此外还含有无机元素,含有,
紫苏,维生素,含有,
莳萝,植物界,属于,
莳萝,被子植物门,属于,
莳萝,木兰纲,属于,
莳萝,伞形目,属于,
莳萝,伞形科,属于,
莳萝,莳萝属,属于,
莳萝,莳萝,属于,
莳萝,挥发油,含有,
莳萝,黄酮,含有,
莳萝,香豆素,含有,
莳萝,葡萄糖苷,含有,
啤酒花,植物界,属于,
啤酒花,维管植物门,属于,
啤酒花,木兰纲,属于,
啤酒花,蔷薇目,属于,
啤酒花,大麻科,属于,
啤酒花,葎草属,属于,
啤酒花,啤酒花,属于,
啤酒花,酒花树脂,含有,
啤酒花,酒花油和多酚物质,含有,
芥菜,植物界,属于,
芥菜,被子植物门,属于,
芥菜,木兰纲,属于,
芥菜,十字花目,属于,
芥菜,十字花科,属于,
芥菜,芸薹属,属于,
芥菜,芥菜,属于,
芥菜,硫代葡萄糖苷,含有,
芥菜,挥发性成分,含有,
番红花,植物界,属于,
番红花,被子植物门,属于,
番红花,木兰纲,属于,
番红花,天门冬目,属于,
番红花,鸢尾科,属于,
番红花,番红花属,属于,
番红花,番红花,属于,
番红花,藏红花甙,含有,
番红花,藏红花酸,含有,
番红花,藏红花醛,含有,
番红花,藏红花苦甙,含有,
番红花,类胡萝卜素,含有,
番红花,鞣酸,含有,
番红花,黄酮,含有,
番红花,维生素B2,含有,
番红花,挥发油,含有,
迷迭香,植物界,属于,
迷迭香,被子植物门,属于,
迷迭香,木兰纲,属于,
迷迭香,唇形目,属于,
迷迭香,唇形科,属于,
迷迭香,迷迭香属,属于,
迷迭香,迷迭香,属于,
迷迭香,木犀草素,含有,
迷迭香,葡萄糖甙,含有,
迷迭香,香叶木甙,含有,
迷迭香,迷迭香酸,含有,
迷迭香,唇形草鞣质酸,含有,
迷迭香,鼠尾草酸,含有,
迷迭香,迷迭香碱,含有,
迷迭香,挥发油,含有,
鼠尾草,植物界,属于,
鼠尾草,被子植物门,属于,
鼠尾草,木兰纲,属于,
鼠尾草,唇形目,属于,
鼠尾草,唇形科,属于,
鼠尾草,鼠尾草属,属于,
鼠尾草,鼠尾草,属于,
鼠尾草,挥发油,含有,
鼠尾草,酚酸和黄酮类物质,含有,
龙蒿,植物界,属于,
龙蒿,被子植物门,属于,
龙蒿,木兰纲,属于,
龙蒿,菊目,属于,
龙蒿,菊科,属于,
龙蒿,蒿属,属于,
龙蒿,龙蒿,属于,
龙蒿,挥发油,含有,
龙蒿,醛类物质,含有,
龙蒿,少量生物碱,含有,
罗勒,植物界,属于,
罗勒,被子植物门,属于,
罗勒,木兰纲,属于,
罗勒,唇形目,属于,
罗勒,唇形科,属于,
罗勒,罗勒属,属于,
罗勒,罗勒,属于,
罗勒,多酚,含有,
罗勒,酚类,含有,
罗勒,黄酮类和酚酸类物质,含有,
牛至,植物界,属于,
牛至,被子植物门,属于,
牛至,木兰纲,属于,
牛至,唇形目,属于,
牛至,唇形科,属于,
牛至,牛至属,属于,
牛至,牛至,属于,
牛至,香芹酚,含有,
牛至,麝香草酚,含有,
牛至,伞花烃,含有,
牛至,单萜烯,含有,
牛至,倍半萜烯,含有,
多香果,植物界,属于,
多香果,被子植物门,属于,
多香果,木兰纲,属于,
多香果,桃金娘目,属于,
多香果,桃金娘科,属于,
多香果,多香果属,属于,
多香果,多香果,属于,
多香果,丁子香酚,含有,
多香果,蛋白质,含有,
多香果,脂肪,含有,
多香果,维生素A,含有,
多香果,C,含有,
多香果,B1,含有,
多香果,B2和多种矿物质,含有,
酸豆,植物界,属于,
酸豆,维管植物门,属于,
酸豆,木兰纲,属于,
酸豆,豆目,属于,
酸豆,豆科,属于,
酸豆,酸豆属,属于,
酸豆,酸豆,属于,
酸豆,糖类,含有,
酸豆,醋酸,含有,
酸豆,酒石酸,含有,
酸豆,蚁酸,含有,
酸豆,柠檬酸,含有,
酸豆,维生素C,含有,
酸豆,维生素B1,含有,
酸豆,多种氨基酸,含有,
薰衣草,植物界,属于,
薰衣草,被子植物门,属于,
薰衣草,木兰纲,属于,
薰衣草,唇形目,属于,
薰衣草,唇形科,属于,
薰衣草,薰衣草属,属于,
薰衣草,薰衣草,属于,
薰衣草,芳樟醇,含有,
薰衣草,乙酸芳樟酯,含有,
薰衣草,1、8-桉叶素,含有,
薰衣草,B-罗勒烯,含有,
薰衣草,萜品烯-4-醇和樟脑,含有,
欧芹,植物界,属于,
欧芹,维管植物门,属于,
欧芹,木兰纲,属于,
欧芹,伞形目,属于,
欧芹,伞形科,属于,
欧芹,欧芹属,属于,
欧芹,欧芹,属于,
欧芹,芫荽醚,含有,
欧芹,肉豆蔻油醚,含有,
欧芹,松油萜,含有,
韭菜,植物界,属于,
韭菜,维管植物门,属于,
韭菜,木兰纲,属于,
韭菜,天门冬目,属于,
韭菜,石蒜科,属于,
韭菜,葱属,属于,
韭菜,韭,属于,
韭菜,甲基烯丙基二硫化物,含有,
韭菜,L-酪氨酸,含有,
韭菜,类胡萝卜素,含有,
韭菜,β-胡萝卜素,含有,
韭菜,抗坏血酸,含有,
韭菜,大蒜辣素,含有,
韭菜,蒜氨酸,含有,
韭菜,丙氨酸,含有,
韭菜,谷氨酸,含有,
韭菜,天冬氨酸和缬氨酸,含有,
块茎山萮菜,植物界,属于,
块茎山萮菜,被子植物门,属于,
块茎山萮菜,木兰纲,属于,
块茎山萮菜,十字花目,属于,
块茎山萮菜,十字花科,属于,
块茎山萮菜,山萮菜属,属于,
块茎山萮菜,块茎山萮菜,属于,
块茎山萮菜,氨基酸,含有,
块茎山萮菜,微量元素,含有,
块茎山萮菜,维生素C,含有,
续断,植物界,属于,
续断,被子植物门,属于,
续断,双子叶植物纲,属于,
续断,茜草目,属于,
续断,川续断科,属于,
续断,川续断属,属于,
续断,续断,属于,
续断,挥发油类,含有,
续断,生物碱类,含有,
续断,环烯醚萜类,含有,
续断,三萜皂苷类,含有,
百合,植物界,属于,
百合,被子植物门,属于,
百合,木兰纲,属于,
百合,百合目,属于,
百合,百合科,属于,
百合,百合属,属于,
百合,百合,属于,
百合,生物碱,含有,
百合,多糖,含有,
百合,磷脂,含有,
百合,黄酮类化合物,含有,
百合,氨基酸,含有,
百合,蛋白质,含有,
百合,淀粉,含有,
百合,维生素,含有,
百合,微量元素,含有,
天门冬,植物界,属于,
天门冬,被子植物门,属于,
天门冬,单子叶植物纲,属于,
天门冬,百合目,属于,
天门冬,百合科,属于,
天门冬,天门冬属,属于,
天门冬,天门冬,属于,
天门冬,甾体皂甙,含有,
天门冬,寡糖,含有,
天门冬,氨基酸和多糖,含有,
防风,植物界,属于,
防风,被子植物门,属于,
防风,木兰纲,属于,
防风,伞形目,属于,
防风,伞形科,属于,
防风,防风属,属于,
防风,防风,属于,
防风,色酮类成分,含有,
防风,香豆精类成分,含有,
防风,挥发油,含有,
防风,聚乙炔类成分,含有,
防风,酸性多糖,含有,
防风,β-谷甾醇,含有,
远志,植物界,属于,
远志,被子植物门,属于,
远志,木兰纲,属于,
远志,豆目,属于,
远志,远志科,属于,
远志,远志属,属于,
远志,远志,属于,
远志,皂苷,含有,
远志,口山酮,含有,
远志,寡糖酯和生物碱,含有,
鱼腥草,植物界,属于,
鱼腥草,被子植物门,属于,
鱼腥草,木兰纲,属于,
鱼腥草,胡椒目,属于,
鱼腥草,三白草科,属于,
鱼腥草,蕺菜属,属于,
鱼腥草,蕺菜,属于,
鱼腥草,挥发油,含有,
鱼腥草,鱼腥草素,含有,
鱼腥草,甲基正壬基酮,含有,
鱼腥草,月桂醛,含有,
鱼腥草,癸醛,含有,
鱼腥草,癸酸,含有,
鱼腥草,氯化钾,含有,
鱼腥草,硫酸钾,含有,
鱼腥草,蕺菜碱,含有,
鱼腥草,异槲皮甙,含有,
鱼腥草,槲皮甙,含有,
鱼腥草,金丝桃甙,含有,
鱼腥草,芸香甙,含有,
女贞,植物界,属于,
女贞,被子植物门,属于,
女贞,木兰纲,属于,
女贞,捩花目,属于,
女贞,木樨科,属于,
女贞,女贞属,属于,
女贞,女贞,属于,
女贞,女贞子甙,含有,
女贞,洋橄榄苦甙,含有,
女贞,齐墩果酸,含有,
女贞,4-羟基-β-苯乙基-β-D-葡萄糖甙,含有,
女贞,桦木醇,含有,
藿香,植物界,属于,
藿香,被子植物门,属于,
藿香,木兰纲,属于,
藿香,唇形目,属于,
藿香,唇形科,属于,
藿香,藿香属,属于,
藿香,藿香,属于,
藿香,挥发油,含有,
藿香,黄酮类化合物,含有,
藿香,萜类化合物,含有,
延胡索,植物界,属于,
延胡索,被子植物门,属于,
延胡索,木兰纲,属于,
延胡索,毛茛目,属于,
延胡索,罂粟科,属于,
延胡索,紫堇属,属于,
延胡索,延胡索,属于,
延胡索,生物碱,含有,
延胡索,大量的淀粉,含有,
延胡索,少量黏液质,含有,
玫瑰,植物界,属于,
玫瑰,被子植物门,属于,
玫瑰,木兰纲,属于,
玫瑰,蔷薇目,属于,
玫瑰,蔷薇科,属于,
玫瑰,蔷薇属,属于,
玫瑰,玫瑰,属于,
玫瑰,挥发油,含有,
玫瑰,黄酮类,含有,
玫瑰,有机酸,含有,
玫瑰,维生素,含有,
降真香,植物界,属于,
降真香,被子植物门,属于,
降真香,木兰纲,属于,
降真香,豆目,属于,
降真香,蝶豆花科,属于,
降真香,降香属,属于,
降真香,降真香,属于,
降真香,挥发油,含有,
降真香,括蓓半萜,含有,
降真香,黄酮化合物,含有,
合欢,植物界,属于,
合欢,维管植物门,属于,
合欢,木兰纲,属于,
合欢,豆目,属于,
合欢,豆科,属于,
合欢,合欢属,属于,
合欢,合欢,属于,
合欢,黄酮,含有,
合欢,挥发油,含有,
合欢,多糖,含有,
菘蓝,植物界,属于,
菘蓝,被子植物门,属于,
菘蓝,双子叶植物纲,属于,
菘蓝,罂粟目,属于,
菘蓝,十字花科,属于,
菘蓝,菘蓝属,属于,
菘蓝,菘蓝,属于,
菘蓝,水杨酸衍生物,含有,
菘蓝,木犀草酸衍生物,含有,
菘蓝,维生素,含有,
菘蓝,多种类黄酮,含有,
白扁豆,植物界,属于,
白扁豆,被子植物门,属于,
白扁豆,双子叶植物纲,属于,
白扁豆,豆目,属于,
白扁豆,豆科,属于,
白扁豆,扁豆属,属于,
白扁豆,白扁豆,属于,
白扁豆,蛋白质,含有,
白扁豆,脂肪,含有,
白扁豆,糖类,含有,
白扁豆,维生素,含有,
白扁豆,微量元素,含有,
丹参,植物界,属于,
丹参,维管植物门,属于,
丹参,木兰纲,属于,
丹参,唇形目,属于,
丹参,唇形科,属于,
丹参,鼠尾草属,属于,
丹参,丹参,属于,
丹参,丹参酮,含有,
丹参,丹参醇,含有,
丹参,丹参酚,含有,
丹参,丹参新酮,含有,
丹参,丹参醛,含有,
丹参,水溶性丹参素,含有,
人参花,植物界,属于,
人参花,被子植物门,属于,
人参花,双子叶植物纲,属于,
人参花,伞形目,属于,
人参花,五加科,属于,
人参花,人参属,属于,
人参花,人参,属于,
人参花,人参皂苷,含有,
人参花,挥发油,含有,
人参花,多糖,含有,
人参花,黄酮,含有,
苏合香,植物界,属于,
苏合香,木兰植物门,属于,
苏合香,木兰纲,属于,
苏合香,金缕梅目,属于,
苏合香,金缕梅科,属于,
苏合香,枫香树属,属于,
苏合香,苏合香,属于,
苏合香,肉桂酸,含有,
苏合香,挥发油,含有,
苏合香,月桂烯,含有,
苏合香,乙基苯酚,含有,
蜡梅,植物界,属于,
蜡梅,被子植物门,属于,
蜡梅,木兰纲,属于,
蜡梅,樟目,属于,
蜡梅,蜡梅科,属于,
蜡梅,蜡梅属,属于,
蜡梅,蜡梅,属于,
蜡梅,挥发油,含有,
蜡梅,龙脑,含有,
蜡梅,桉油精,含有,
蜡梅,芳樟醇,含有,
蜡梅,洋蜡梅碱,含有,
蜡梅,异洋蜡梅碱,含有,
蜡梅,蜡梅甙,含有,
蜡梅,a-胡萝卜素,含有,
蜡梅,亚油酸,含有,
蜡梅,油酸,含有,
酸枣,植物界,属于,
酸枣,被子植物门,属于,
酸枣,木兰纲,属于,
酸枣,蔷薇目,属于,
酸枣,鼠李科,属于,
酸枣,枣属,属于,
酸枣,酸枣,属于,
酸枣,三萜皂苷类,含有,
酸枣,黄酮类,含有,
酸枣,生物碱类,含有,
酸枣,脂肪油,含有,
酸枣,挥发油,含有,
决明子,植物界,属于,
决明子,被子植物门,属于,
决明子,双子叶植物纲,属于,
决明子,蔷薇目,属于,
决明子,豆科,属于,
决明子,决明属,属于,
决明子,决明子,属于,
决明子,蒽醌类化合物,含有,
决明子,黄酮类,含有,
决明子,萜类,含有,
决明子,多糖类,含有,
决明子,蛋白质,含有,
决明子,氨基酸,含有,
决明子,微量元素,含有,
百部,植物界,属于,
百部,被子植物门,属于,
百部,木兰纲,属于,
百部,露兜树目,属于,
百部,百部科,属于,
百部,百部属,属于,
百部,百部,属于,
百部,多种生物碱,含有,
百部,糖,含有,
百部,脂类,含有,
百部,蛋白质,含有,
百部,灰分,含有,
百部,乙酸,含有,
百部,甲酸,含有,
百部,苹果酸,含有,
百部,琥珀酸,含有,
百部,草酸,含有,
党参,植物界,属于,
党参,被子植物门,属于,
党参,木兰纲,属于,
党参,菊目,属于,
党参,桔梗,属于,
党参,党参属,属于,
党参,党参,属于,
党参,党参甭苷,含有,
党参,苍术内酯Ⅲ,含有,
党参,党参苷Ⅳ,含有,
党参,"(6R,7R)-反",含有,
党参,反十四烷-4,含有,
党参,12-二烯-8,含有,
党参,10-二炔-1,含有,
党参,7三醇,含有,
党参,丁香苷,含有,
党参,香草酸,含有,
玄参,植物界,属于,
玄参,被子植物门,属于,
玄参,双子叶植物纲,属于,
玄参,管状花目,属于,
玄参,玄参科,属于,
玄参,玄参属,属于,
玄参,玄参,属于,
玄参,萜类,含有,
玄参,苯丙素类,含有,
玄参,有机酸类,含有,
玄参,挥发油类,含有,
玄参,甾体类,含有,
玄参,糖类,含有,
玄参,黄酮类,含有,
玄参,生物碱类,含有,
玄参,酚类,含有,
桂花枝,植物界,属于,
桂花枝,被子植物门,属于,
桂花枝,双子叶植物纲,属于,
桂花枝,捩花目,属于,
桂花枝,木犀科,属于,
桂花枝,木犀属,属于,
桂花枝,木犀,属于,
桂花枝,桂皮醛,含有,
桂花枝,苯甲酸苄酯,含有,
桂花枝,乙酸肉桂酯,含有,
桂花枝,β-荜澄茄烯,含有,
桂花枝,菖莆烯,含有,
桂花枝,香豆精,含有,
牛蒡,植物界,属于,
牛蒡,被子植物门,属于,
牛蒡,双子叶植物纲,属于,
牛蒡,桔梗目,属于,
牛蒡,菊科,属于,
牛蒡,牛蒡属,属于,
牛蒡,牛蒡,属于,
牛蒡,挥发油,含有,
牛蒡,黄酮类化合物,含有,
牛蒡,酚酸类化合物,含有,
牛蒡,甾醇类化合物,含有,
牛蒡,脂肪酸,含有,
龙脑香,植物界,属于,
龙脑香,被子植物门,属于,
龙脑香,双子叶植物纲,属于,
龙脑香,侧膜胎座目,属于,
龙脑香,龙脑香科,属于,
龙脑香,龙脑香属,属于,
